,company,year_of_experience,description,skills,link
0,E Hook Systems,10 - 13 yrs,Cloud Computing Architect Responsibilities Knowledge of industry cloud computing principles and implementation of Cloud Computing conceptsKnowledge of designing a comprehensiv... More Details,"information technology  ,  storage  ,  security  ,  devops  ,  json  ,  api  ,  cloud computing  ,  cloud services  ,  infrastructure  ,  openstack",https://www.timesjobs.com/job-detail/cloud-computing-architect-e-hook-systems-delhi-10-to-13-yrs-jobid-Ss3cOWJIoMBzpSvf__PLUS__uAgZw==&source=srp
1,"IIBM Institute of Business Management
     (More Jobs)",0 - 3 yrs,IIBM Institute is hiring candidates for cloud computing  &  devops from pan India.candidate need to be fresher.must be graduate in any field.IIBM Institute had already trained... More Details,"cloud computing  ,  devops  ,  azure  ,  aws",https://www.timesjobs.com/job-detail/require-freshers-for-cloud-computing-devops-iibm-institute-of-business-management-bengaluru-bangalore-chennai-delhi-hyderabad-secunderabad-pune-0-to-3-yrs-jobid-f1lhxxSryDlzpSvf__PLUS__uAgZw==&source=srp
2,"Syncway Infotech
     (More Jobs)",1 - 6 yrs,"ast typing skills; Knowledge of touch typing system is strongly preferredExcellent knowledge of word processing tools and spreadsheets  ( MS Office Word ,  Excel etc. ) Basic ... More Details","""Good Communication skills""",https://www.timesjobs.com/job-detail/data-entry-computer-operator-syncway-infotech-chandigarh-adilabad-anantapur-chittoor-cuddapah-1-to-6-yrs-jobid-nUZVmW8v0VpzpSvf__PLUS__uAgZw==&source=srp
3,"Aryan technologies
     (More Jobs)",0 - 3 yrs,Roles  &  Responsibilities: Position:Fresher  / Computer Operator /  Data Entry Executive / Online Data Entry  /  Data Entry Operator  /  Data Base Administrator  /  Data Entr... More Details,"Fresher  ,  Online Data Entry  ,  Data Entry Operator  ,  Data Base Administrator  ,  Data Entry Officer  ,  Form Filling  ,  Computer Operator  ,  Data Entry Executive  ,  DEO  ,  Data Entry",https://www.timesjobs.com/job-detail/computer-operator-data-entry-operator-aryan-technologies-amritsar-batala-bathinda-chandigarh-faridkot-0-to-3-yrs-jobid-e7U4DdXvbk5zpSvf__PLUS__uAgZw==&source=srp
4,"Aryan technologies
     (More Jobs)",0 - 3 yrs,Roles  &  Responsibilities: Position:Fresher  / Computer Operator /  Data Entry Executive / Online Data Entry  /  Data Entry Operator  /  Data Base Administrator  /  Data Entr... More Details,"Fresher  ,  Online Data Entry  ,  Data Entry Operator  ,  Data Base Administrator  ,  Data Entry Officer  ,  Form Filling  ,  Computer Operator  ,  Data Entry Executive  ,  DEO  ,  Data Entry",https://www.timesjobs.com/job-detail/computer-operator-data-entry-operator-aryan-technologies-indore-jabalpur-katni-ratlam-ujjain-0-to-3-yrs-jobid-1NDSEzlnsKRzpSvf__PLUS__uAgZw==&source=srp
5,"Shah Recruiters
     (More Jobs)",1 - 6 yrs,"Description And Responsibilities: To lead the team for effective management of store operation in receiving ,  inspection ,  storage ,  issuance  &  transfer of items as per c... More Details","Store keeper  ,  Supervisor",https://www.timesjobs.com/job-detail/store-human-resources-manager-computer-operator-erp-shah-recruiters-bengaluru-bangalore-chennai-delhi-kolkata-1-to-6-yrs-jobid-4b9CTdPWvWhzpSvf__PLUS__uAgZw==&source=srp
6,HP ENTERPRISE SERVICES,2 - 3 yrs,"Encompasses multiple disciplines ,  including technology architects ,  solution architects ,  and enterprise architects. Architects: Are responsible for delivering business va... More Details","digital transformation  ,  project management  ,  c  ,  solution architect  ,  technology solutions  ,  infrastructure  ,  openstack",https://www.timesjobs.com/job-detail/cloud-native-computing-solution-architect-hp-enterprise-services-gurgaon-mumbai-bengaluru-bangalore-2-to-3-yrs-jobid-WUzdRQnafuNzpSvf__PLUS__uAgZw==&source=srp
7,"Aryan technologies
     (More Jobs)",0 - 3 yrs,Roles  &  Responsibilities: Position:Fresher  / Computer Operator /  Data Entry Executive / Online Data Entry  /  Data Entry Operator  /  Data Base Administrator  /  Data Entr... More Details,"Fresher  ,  Online Data Entry  ,  Data Entry Operator  ,  Data Base Administrator  ,  Data Entry Officer  ,  Form Filling  ,  Computer Operator  ,  Data Entry Executive  ,  DEO  ,  Data Entry",https://www.timesjobs.com/job-detail/computer-operator-data-entry-operator-aryan-technologies-chennai-delhi-ncr-gurgaon-kurnool-nellore-0-to-3-yrs-jobid-Kxz5GoCQMJtzpSvf__PLUS__uAgZw==&source=srp
8,"Busibud Solutions Pvt. Ltd
     (More Jobs)",0 - 3 yrs,We have an urgent opening for someone to work at our office and help us with the following tasks:- Data entry tasks- Maintaining bills and expense invoices- Helping with maint... More Details,Computer and technical skills,https://www.timesjobs.com/job-detail/data-entry-executive-busibud-solutions-pvt-ltd-panchkula-0-to-3-yrs-jobid-x82y__PLUS__IpYi0JzpSvf__PLUS__uAgZw==&source=srp
9,"CP Careers Pvt. Ltd.
     (More Jobs)",6 - 9 yrs,"Experience Range: 6 to 9 YrsJob Location: PuneRole  &  Responsibility:As part of Cloud  &  Network Security team ,  your responsibilities will include ,  be a stake holder in ... More Details","Cloud  ,   Network Security team  ,  stake holder   ,  stake holder  ,  application architecture  ,  design  ,   design review  ,  writing code  ,  code review  ,   continuous integration",https://www.timesjobs.com/job-detail/devops-lead-engineer-role-a-client-of-cpcareers-private-limited-bengaluru-bangalore-gurgaon-noida-greater-noida-6-to-9-yrs-jobid-1EleJs__SLASH__B1z9zpSvf__PLUS__uAgZw==&source=srp
