,company,year_of_experience,description,skills,link
0,Analytics Vidhya,2 - 5 yrs,Data ScientistData Scientist RefreshmintGurgaon INR 4 - 9 LPA Experience : 1 - 3 YRS. Openings: 1Details:Do you feel passionately about solving problems through data? Have you... More Details,"sas  ,  data science  ,  use cases  ,  predictive modeling  ,  data scientist",https://www.timesjobs.com/job-detail/data-scientist-analytics-vidhya-gurgaon-2-to-5-yrs-jobid-__PLUS__9fUKEl86gVzpSvf__PLUS__uAgZw==&source=srp
1,Analytics Vidhya,3 - 6 yrs,This Role Is Best Suited ForPerson with 3  years of experience in data science. The person should have prior experience with practical data science applications and use cases.... More Details,"sas  ,  data science  ,  use cases  ,  predictive modeling  ,  data scientist",https://www.timesjobs.com/job-detail/data-scientist-analytics-vidhya-gurgaon-3-to-6-yrs-jobid-Gyey__SLASH__gl1a8VzpSvf__PLUS__uAgZw==&source=srp
2,Analytics Vidhya,3 - 5 yrs,"Use SAP ,  Tableau and Success Factors IT tools to derive insights from dataApply statistical knowledge to develop data modelsBuild Excel workbooks  ( including VBA ) Prepare ... More Details","it tools  ,  tableau  ,  java  ,  vba  ,  data scientist  ,  statistical modeling  ,  visual basic",https://www.timesjobs.com/job-detail/data-scientist-analytics-vidhya-gurgaon-3-to-5-yrs-jobid-TlT0NWDfbJVzpSvf__PLUS__uAgZw==&source=srp
3,Great Learning,0 - 3 yrs,Involve in the residency class room sessions to facilitate lectures and lab sessionsBe the first point contact for participants for academic queries and manage discussion grou... More Details,"data analysis  ,  program management  ,  dashboards  ,  tableau  ,  use cases  ,  data scientist",https://www.timesjobs.com/job-detail/data-scientist-great-learning-gurgaon-bengaluru-bangalore-0-to-3-yrs-jobid-Wz6vKSRSCSBzpSvf__PLUS__uAgZw==&source=srp
4,Analytics Vidhya,4 - 7 yrs,Data Scientist  Delhi NCR  ( 4  years of experience ) Data Scientist  Delhi NCR  ( 4  years of experience )  A Client of Analytics VidhyaGurugram INR 12 - 17 LPA Experience : ... More Details,"information technology  ,  business process  ,  data science  ,  predictive modeling  ,  data scientist  ,  statistical modeling",https://www.timesjobs.com/job-detail/data-scientist-analytics-vidhya-delhi-delhi-ncr-4-to-7-yrs-jobid-gWGyDgWz__SLASH__sRzpSvf__PLUS__uAgZw==&source=srp
5,Analytics Vidhya,5 - 8 yrs,"The data scientist is responsible for solving complex big-data problems in the mobile space using data mining ,  machine learning ,  statistical analysis and common sense. The... More Details","data mining  ,  mobile  ,  business analysis  ,  sql  ,  predictive modeling  ,  data scientist  ,  text mining  ,  statistical analysis",https://www.timesjobs.com/job-detail/data-scientist-analytics-vidhya-gurgaon-5-to-8-yrs-jobid-dOjrEM65C1hzpSvf__PLUS__uAgZw==&source=srp
6,Analytics Vidhya,3 - 6 yrs,"The Data Scientist will support our business leads ,  business analysts and data engineers on data ,  analytics and BI initiatives and will ensure the delivery of actionable a... More Details","visualization  ,  bi  ,  dashboards  ,  data science  ,  data scientist  ,  statistical modeling  ,  consulting  ,  predictive analytics  ,  tableau",https://www.timesjobs.com/job-detail/data-scientist-analytics-vidhya-gurgaon-3-to-6-yrs-jobid-Tvz__SLASH__jV__SLASH__Gu__SLASH__RzpSvf__PLUS__uAgZw==&source=srp
7,Analytics Vidhya,4 - 7 yrs,Data Scientist- Noida  ( 1-3 Years Of Experience ) Data Scientist- Noida  ( 1-3 Years Of Experience )  A Client of Analytics VidhyaNoida INR 4 - 8 LPA Experience : 1 - 3 YRS. ... More Details,"data mining  ,  linear regression  ,  sql  ,  data science  ,  data scientist  ,  cluster analysis  ,  logistic regression  ,  sas  ,  consulting  ,  predictive analytics  ,  vba",https://www.timesjobs.com/job-detail/data-scientist-analytics-vidhya-noida-greater-noida-4-to-7-yrs-jobid-JIPyIjNZeRhzpSvf__PLUS__uAgZw==&source=srp
8,Analytics Vidhya,3 - 10 yrs,"Requirements: You have expertise in exploratory data analysis and visualisation  ( e.g. with SQL ,  Python / Pandas ,  R ,  or similar ) .You love using data to answer high-le... More Details","data analysis  ,  data analytics  ,  sas  ,  data mining  ,  product roadmap  ,  sql  ,  data science  ,  use cases  ,  predictive modeling  ,  data scientist",https://www.timesjobs.com/job-detail/data-scientist-analytics-vidhya-gurgaon-3-to-10-yrs-jobid-VBNr4BG3rlZzpSvf__PLUS__uAgZw==&source=srp
9,ITFORTE STAFFING SERVICES PRIVATE LTD,3 - 6 yrs,"Data Scientist for GurgaonJob ID IT JOBS#258Location: Gurgaon ,  IndiaRequired Skills: Our client is seeking a creative Data Scientist to explore unstructured data from divers... More Details","time series analysis  ,  signal processing  ,  data science  ,  data scientist  ,  statistical modeling  ,  text mining  ,  data analysis  ,  statistical analysis",https://www.timesjobs.com/job-detail/data-scientist-itforte-staffing-services-private-ltd-gurgaon-3-to-6-yrs-jobid-G4VBLWGbn__PLUS__NzpSvf__PLUS__uAgZw==&source=srp
10,axmiyan hr solutions private limited,3 - 6 yrs,Be an Individual Contributor in the Analytics Research and Development team and solve real-world problems using cutting-edge capabilities and emerging technologies. Be a part ... More Details,"time series analysis  ,  linear regression  ,  data science  ,  data scientist  ,  logistic regression  ,  image processing  ,  advanced analytics  ,  factor analysis",https://www.timesjobs.com/job-detail/data-scientist-axmiyan-hr-solutions-private-limited-gurgaon-3-to-6-yrs-jobid-bhvvbAc0__SLASH__9lzpSvf__PLUS__uAgZw==&source=srp
11,Crowe LLP,0 - 4 yrs,"About Crowe Data ScienceEverything we do is about making the future of human work more purposeful. We do this by leveraging state-of-the-art machine learning ,  modern archite... More Details","docker  ,  git  ,  data structures  ,  python  ,  machine learning",https://www.timesjobs.com/job-detail/data-scientist-crowe-llp-noida-greater-noida-0-to-4-yrs-jobid-6u29fKNGPFJzpSvf__PLUS__uAgZw==&source=srp
12,Analytics Vidhya,5 - 8 yrs,"Data ScientistData Scientist A Client of Analytics VidhyaGurgaon INR 10 - 15 LPA Experience : 2 - 4 YRS. Openings: 3Details:About the companyStarted 5 years ago ,  today it is... More Details","algorithms  ,  python  ,  data mining  ,  machine learning  ,  mysql",https://www.timesjobs.com/job-detail/data-scientist-analytics-vidhya-gurgaon-5-to-8-yrs-jobid-vyPC6__PLUS__jFjShzpSvf__PLUS__uAgZw==&source=srp
13,Team Computers Pvt Ltd,0 - 3 yrs,Position description: The purpose of this role is to closely work with business to identify and implement predictive models for healthcare.Primary Responsibilities:Model for r... More Details,"data visualization  ,   statistical testing  ,   regression  ,   machine learning techniques",https://www.timesjobs.com/job-detail/data-scientist-team-computers-pvt-ltd-delhi-delhi-ncr-0-to-3-yrs-jobid-__SLASH__z4fKcGSLF9zpSvf__PLUS__uAgZw==&source=srp
14,electrifai,10 - 13 yrs,"As a Data Scientist at ElectrifAi ,  you will be part of a global team of data scientists working on products and solutions for Fortune 500 companies. You will improve upon an... More Details","hive  ,  algorithms  ,  data mining  ,  sql  ,  hadoop  ,  big data  ,  python  ,  natural language processing  ,  machine learning",https://www.timesjobs.com/job-detail/data-scientist-electrifai-noida-greater-noida-10-to-13-yrs-jobid-kfKxWlEVstZzpSvf__PLUS__uAgZw==&source=srp
15,Analytics Vidhya,5 - 8 yrs,"Data ScientistData Scientist Dollarbird Information Services Pvt ,  Ltd.mysuru INR 5 - 10 LPA Experience : 5 - 15 YRS. Openings: 3Details:DollarBird is looking to add a Data S... More Details","ds  ,  big data  ,  python  ,  oracle  ,  mining  ,  dsp  ,  bi  ,  storage  ,  sql  ,  database  ,  hadoop  ,  crm  ,  mobile  ,  machine learning",https://www.timesjobs.com/job-detail/data-scientist-analytics-vidhya-gurgaon-5-to-8-yrs-jobid-wa6D609KC__PLUS__VzpSvf__PLUS__uAgZw==&source=srp
16,Sentieo,0 - 3 yrs,Sentieo is powering the future of financial and corporate research in a $30B market. Our vision is to create a world where competitive organizations have the insights they nee... More Details,"algorithms  ,  data mining  ,  database  ,  python  ,  mining  ,  machine learning",https://www.timesjobs.com/job-detail/data-scientist-sentieo-delhi-delhi-ncr-0-to-3-yrs-jobid-7YBNAKR__PLUS__4qxzpSvf__PLUS__uAgZw==&source=srp
17,Beno Staffing,2 - 5 yrs,What do we do at BluePi: BluePi is a born in cloud organization with one of the main focus area being Big Data and Analytics. At BluePi we solve different business problems fo... More Details,"image processing  ,  algorithms  ,  natural language processing  ,  machine learning  ,  sql  ,  hadoop  ,  big data",https://www.timesjobs.com/job-detail/data-scientist-beno-staffing-gurgaon-2-to-5-yrs-jobid-XEnXG2jbkv9zpSvf__PLUS__uAgZw==&source=srp
18,Analytics Vidhya,2 - 7 yrs,"Description If you want to forecast Indias eCommerce demand within 3 PERCENT  margin ,  build consumer models and scores for 50 million online shoppers ,  or decide the locati... More Details","algorithms  ,  c    ,  ensemble  ,  ds  ,  security  ,  hadoop  ,  press  ,  big data  ,  mongodb  ,  python  ,  machine learning  ,  nosql  ,  neo4j",https://www.timesjobs.com/job-detail/data-scientist-analytics-vidhya-gurgaon-2-to-7-yrs-jobid-gp__PLUS__zUSe369BzpSvf__PLUS__uAgZw==&source=srp
19,Analytics Vidhya,2 - 5 yrs,"Data ScientistData Scientist A Client of Analytics VidhyaDelhi ,  Gurugram INR 1 - 2 LPA Experience : 2 - 5 YRS. Openings: 1Details:The ideal candidate is adept at using large... More Details","hive  ,  algorithms  ,  data mining  ,  sql  ,  pig  ,  d3.js  ,  mongodb  ,  hbase  ,  python  ,  businessobjects  ,  problem solving  ,  machine learning  ,  nosql  ,  artificial neural networks  ,  cassandra",https://www.timesjobs.com/job-detail/data-scientist-analytics-vidhya-gurgaon-delhi-delhi-ncr-2-to-5-yrs-jobid-y2p7OXYH5sNzpSvf__PLUS__uAgZw==&source=srp
20,Pattem Digital Technologies,0 - 3 yrs,Data Scientist We are searching for a Lead Data Scientist to lead our technical team and help us gain useful insights from heaps of raw data.Your responsibilities as a Data Sc... More Details,"python  ,  data mining  ,  machine learning  ,  sql  ,  nosql  ,  leadership skills  ,  big data",https://www.timesjobs.com/job-detail/data-scientist-pattem-digital-technologies-hyderabad-secunderabad-noida-greater-noida-chennai-bengaluru-bangalore-0-to-3-yrs-jobid-o9xBj2TNtZpzpSvf__PLUS__uAgZw==&source=srp
21,MASTERCARD,2 - 3 yrs,Job TitleData ScientistJob Description Integrated Analytics Team  Data ScientistOverviewIntegrated Analytics has pioneered a transaction based revenue methodology to inform an... More Details,"information technology  ,  ssrs  ,  python  ,  data mining  ,  bi  ,  sql coding  ,  hadoop  ,  problem solving  ,  team player",https://www.timesjobs.com/job-detail/data-scientist-mastercard-gurgaon-2-to-3-yrs-jobid-uX__PLUS__NqqaHtlZzpSvf__PLUS__uAgZw==&source=srp
22,MASTERCARD,2 - 3 yrs,"Job TitleData ScientistOverviewIntegrated Analytics has pioneered a transaction based revenue methodology to inform and guide Mastercards Strategy ,  Product Design and Innova... More Details","information technology  ,  ssrs  ,  python  ,  data mining  ,  bi  ,  sql coding  ,  hadoop  ,  problem solving  ,  team player",https://www.timesjobs.com/job-detail/data-scientist-mastercard-gurgaon-2-to-3-yrs-jobid-1fiB34KLNu5zpSvf__PLUS__uAgZw==&source=srp
23,MASTERCARD,2 - 3 yrs,"Job TitleData ScientistOverviewIntegrated Analytics has pioneered a transaction based revenue methodology to inform and guide Mastercards Strategy ,  Product Design and Innova... More Details","information technology  ,  ssrs  ,  python  ,  data mining  ,  bi  ,  sql coding  ,  hadoop  ,  problem solving  ,  team player",https://www.timesjobs.com/job-detail/data-scientist-mastercard-gurgaon-2-to-3-yrs-jobid-VxOgvrmG__SLASH__bZzpSvf__PLUS__uAgZw==&source=srp
24,MASTERCARD,0 - 3 yrs,Job TitleData ScientistJob Description Integrated Analytics Team  Data ScientistOverviewIntegrated Analytics has pioneered a transaction based revenue methodology to inform an... More Details,"information technology  ,  ssrs  ,  python  ,  data mining  ,  bi  ,  sql coding  ,  hadoop  ,  problem solving  ,  team player",https://www.timesjobs.com/job-detail/data-scientist-mastercard-gurgaon-0-to-3-yrs-jobid-PkbfeT2rOBpzpSvf__PLUS__uAgZw==&source=srp
