,company,year_of_experience,description,skills,link
0,Delvetech,3 - 6 yrs,"Position : 1Experience : 1 year - 3 yearsSalary : Best as per industry!Qualification : UG - B.Tech / B.E. - Any Specialization , BCA - Computers , Diploma - Any Specialization... More Details","data mining  ,  machine learning  ,  big data",https://www.timesjobs.com/job-detail/artificial-intelligence-delvetech-noida-greater-noida-3-to-6-yrs-jobid-6__PLUS__9Mler8cDFzpSvf__PLUS__uAgZw==&source=srp
1,JobsLo Consultants,5 - 7 yrs,"Job Description : Develop custom reports and analytics ,  dashboards for the various business requirements. Work with data ETL and data analysis packages and workflows. Create... More Details","algorithms  ,  c    ,  artificial intelligence  ,  java  ,  python  ,  c  ,  machine learning  ,  javascript",https://www.timesjobs.com/job-detail/artificial-intelligence-developer-jobslo-consultants-delhi-5-to-7-yrs-jobid-UWb7__SLASH__vW5gNRzpSvf__PLUS__uAgZw==&source=srp
2,JobsLo Consultants,6 - 8 yrs,"Job Description : At least 5 years hands-on programming experience working on enterprise products. Minimum 3 years of development experience using one of JAVA ,  C ,  C   or p... More Details","c    ,  python  ,  c  ,  sas  ,  microsoft azure  ,  java  ,  written communication  ,  api",https://www.timesjobs.com/job-detail/senior-developer-artificial-intelligence-jobslo-consultants-delhi-ncr-6-to-8-yrs-jobid-mG9ZfERgKFBzpSvf__PLUS__uAgZw==&source=srp
3,electrifai,5 - 8 yrs,"Work directly with the Engineering team to support a high demand and fast paced client production environmentDesign and implement build ,  deployment ,  and configuration mana... More Details","artificial intelligence  ,  sso  ,  devops  ,  software engineering  ,  big data  ,  python  ,  ubuntu  ,  maven  ,  javascript  ,  network management  ,  fundamentals  ,  docker  ,  sql  ,  database  ,  git  ,  linux  ,  mongodb  ,  svn  ,  machine learning  ,  ruby  ,  gradle  ,  production environment  ,  infrastructure  ,  php",https://www.timesjobs.com/job-detail/senior-devops-engineer-artificial-intelligence-electrifai-delhi-5-to-8-yrs-jobid-hGWP__PLUS__KLG__PLUS__QhzpSvf__PLUS__uAgZw==&source=srp
4,"CANVAS27.com Consultant
     (More Jobs)",1 - 6 yrs,"Strong background in one or more of: Deep Learning ,  Machine Learning ,  Natural Language Processing ,  Recommendation Systems ,  Pattern Recognition ,  Large Scale Data Mini... More Details","Pattern Recognition  ,  c ++  ,  C  ,  Artificial Intelligence  ,  Natural Language Processing  ,  Data Mining  ,  Machine Learning  ,  MATLAB  ,  Deep Learning  ,  Python  ,  IOT",https://www.timesjobs.com/job-detail/artificial-intelligence-machine-learning-trainer-canvas27-com-consultant-ahmedabad-bengaluru-bangalore-chennai-delhi-ncr-gurgaon-1-to-6-yrs-jobid-3VRDDPdluB5zpSvf__PLUS__uAgZw==&source=srp
5,"CANVAS27.com Consultant
     (More Jobs)",1 - 6 yrs,"Strong background in one or more of: Deep Learning ,  Machine Learning ,  Natural Language Processing ,  Recommendation Systems ,  Pattern Recognition ,  Large Scale Data Mini... More Details","Pattern Recognition  ,  c ++  ,  C  ,  Artificial Intelligence  ,  Natural Language Processing  ,  Data Mining  ,  Machine Learning  ,  MATLAB  ,  Deep Learning  ,  Python  ,  IOT",https://www.timesjobs.com/job-detail/artificial-intelligence-machine-learning-trainer-canvas27-com-consultant-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-pune-1-to-6-yrs-jobid-PYpC1ImHQ1lzpSvf__PLUS__uAgZw==&source=srp
6,NLP People,2 - 6 yrs,Overview Core member of AI  /  Machine Learning and Data Analytics team. Work on data sets from internal and external sources and focus on solving applied problems using Natur... More Details,"algorithms  ,  python  ,  natural language processing  ,  data mining  ,  machine learning  ,  artificial intelligence  ,  sql  ,  data extraction  ,  sql developer",https://www.timesjobs.com/job-detail/data-analytics-artificial-intelligence-machine-language-nlp-people-delhi-2-to-6-yrs-jobid-EmJY3nXniDJzpSvf__PLUS__uAgZw==&source=srp
7,Infogain Corporation,5 - 6 yrs,ROLES  &  RESPONSIBILITIES At least 4 years of relevant experience as AI / ML DomainMust have delivered end to end AI / ML Models in production environmentVery good Data Analy... More Details,"algorithms  ,  ensemble  ,  artificial intelligence  ,  sql  ,  software engineering  ,  python  ,  natural language processing  ,  machine learning  ,  nosql  ,  consultant  ,  production environment",https://www.timesjobs.com/job-detail/consultant-development-ai-artificial-intelligence-ml-infogain-corporation-delhi-delhi-ncr-pune-bengaluru-bangalore-5-to-6-yrs-jobid-HB05fUo7i__PLUS__VzpSvf__PLUS__uAgZw==&source=srp
8,Analytics Vidhya,6 - 9 yrs,"Technical Lead - Machine Learning / artificial Intelligence- Mumbai ,  Bengaluru ,  Delhi  ( 2- 6 Years Of Experience ) Technical Lead - Machine Learning / artificial Intellig... More Details","scala  ,  artificial intelligence  ,  elastic search  ,  java  ,  mysql  ,  api  ,  mongodb  ,  problem solving  ,  machine learning  ,  nosql  ,  neo4j",https://www.timesjobs.com/job-detail/technical-lead-machine-learning-artificial-intelligence-analytics-vidhya-mumbai-delhi-delhi-ncr-bengaluru-bangalore-6-to-9-yrs-jobid-eyu830q8Yv1zpSvf__PLUS__uAgZw==&source=srp
9,NLP People,5 - 8 yrs,"Overview Responsibilities :- Selecting features ,  building and optimizing classifiers using machine learning techniques.- Data mining using state-of-the-art methods.- Extendi... More Details","algorithms  ,  information technology  ,  data mining  ,  sql  ,  d3.js  ,  python  ,  problem solving  ,  machine learning  ,  entry level",https://www.timesjobs.com/job-detail/deep-learning-engineer-nlp-artificial-intelligence-machine-learning-nlp-people-delhi-5-to-8-yrs-jobid-BlI2vSce7vRzpSvf__PLUS__uAgZw==&source=srp
