,company,year_of_experience,description,skills,link
0,JobsLo Consultants,0 - 1 yrs,"We are looking for a Data Scientist that will help us discover the information hidden in vast amounts of data ,  and help us make smarter decisions to deliver even better prod... More Details","python  ,  data mining  ,  information retrieval  ,  machine learning  ,  logical thinking  ,  sql",https://www.timesjobs.com/job-detail/machine-learning-engineer-jobslo-consultants-noida-greater-noida-0-to-1-yrs-jobid-hDFZk5Wx1H9zpSvf__PLUS__uAgZw==&source=srp
1,Smart Joules,3 - 6 yrs,"Responsibilities : Exploring and visualizing data to gain an understanding of it ,  then identifying differences in data distribution that could affect performance when deploy... More Details","algorithms  ,  python  ,  communication engineering  ,  machine learning  ,  infrastructure  ,  hadoop  ,  big data",https://www.timesjobs.com/job-detail/machine-learning-engineer-smart-joules-delhi-3-to-6-yrs-jobid-6iwaz7HvMYdzpSvf__PLUS__uAgZw==&source=srp
2,APPLYCUP HIRING SOLUTIONS LLP,5 - 8 yrs,"Qualification : BE  , Btech  , BSC Computer / IT , MSC  , MCA , any graduate ,  Experience : 5 - 8 YearsSkills : TensorFlow or Keras ,  python ,  visualizingJob Description :J... More Details","algorithms  ,  python  ,  machine learning  ,  linux  ,  web development  ,  opencv",https://www.timesjobs.com/job-detail/machine-learning-engineer-applycup-hiring-solutions-llp-gurgaon-delhi-delhi-ncr-5-to-8-yrs-jobid-8vJTI8EfbdFzpSvf__PLUS__uAgZw==&source=srp
3,Analytics Vidhya,3 - 6 yrs,Machine Learning engineer- Delhi / NCR  ( 3  Years Of Experience ) Machine Learning engineer- Delhi / NCR  ( 3  Years Of Experience )  A Client of Analytics VidhyaGurgaon INR ... More Details,"hive  ,  scala  ,  pig  ,  java  ,  hadoop  ,  mongodb  ,  python  ,  algorithm development  ,  mining  ,  machine learning  ,  nosql  ,  mapreduce  ,  cassandra",https://www.timesjobs.com/job-detail/machine-learning-engineer-analytics-vidhya-gurgaon-delhi-delhi-ncr-3-to-6-yrs-jobid-uECiNNXv8ndzpSvf__PLUS__uAgZw==&source=srp
4,Analytics Vidhya,4 - 7 yrs,Machine Learning Engineer- Gurugram  ( 4  Years of Experience ) Machine Learning Engineer- Gurugram  ( 4  Years of Experience )  A Client of Analytics VidhyaGurugram INR 15 - ... More Details,"algorithms  ,  data mining  ,  artificial intelligence  ,  sql  ,  python  ,  information retrieval  ,  mobile  ,  machine learning  ,  application support",https://www.timesjobs.com/job-detail/machine-learning-engineer-analytics-vidhya-gurgaon-4-to-7-yrs-jobid-gPqycPLjxeVzpSvf__PLUS__uAgZw==&source=srp
5,Analytics Vidhya,6 - 8 yrs,"Responsibilities:Build creative ,  reliable and scalable machine learning and analytics platform in an agile software development environmentContinually evolve the platform as... More Details","algorithms  ,  python  ,  scala  ,  machine learning  ,  nosql  ,  java  ,  cassandra  ,  written communication  ,  hdfs  ,  cloud computing  ,  big data",https://www.timesjobs.com/job-detail/machine-learning-engineer-analytics-vidhya-gurgaon-6-to-8-yrs-jobid-ZXlOysRH0qRzpSvf__PLUS__uAgZw==&source=srp
6,EXPEDIA,0 - 3 yrs,We are looking for a Machine Learning Engineer to join our Machine Learning Engineering team in Gurgaon. Our team works very closely with Data Scientists in a fast paced Agile... More Details,"hive  ,  algorithms  ,  scala  ,  sql  ,  java  ,  software engineering  ,  hadoop  ,  big data  ,  python  ,  cloud services  ,  machine learning  ,  system architecture  ,  ooad",https://www.timesjobs.com/job-detail/machine-learning-engineer-ii-expedia-gurgaon-0-to-3-yrs-jobid-M7TWvfbwFSFzpSvf__PLUS__uAgZw==&source=srp
7,EXPEDIA,0 - 3 yrs,Are you fascinated by data and building robust data pipelines which process massive amounts of data at scale and speed to provide crucial insights to the end customer? This is... More Details,"hive  ,  algorithms  ,  scala  ,  sql  ,  software engineering  ,  hadoop  ,  python  ,  cloud services  ,  machine learning  ,  nosql  ,  system architecture  ,  ooad",https://www.timesjobs.com/job-detail/machine-learning-engineer-iii-expedia-gurgaon-0-to-3-yrs-jobid-X__PLUS__gzo__SLASH__fkJ81zpSvf__PLUS__uAgZw==&source=srp
8,Shelby Management Solutions,7 - 12 yrs,Job DescriptionRoles and ResponsibilitiesObject Oriented Programming - MandatoryData Structures - MandatorySQL - MandatoryPython - MandatoryBasic Stats - MandatoryML Framework... More Details,"python  ,  machine learning  ,  sql  ,  devops  ,  data structures  ,  object oriented programming  ,  api  ,  software developer",https://www.timesjobs.com/job-detail/machine-learning-engineer-shelby-management-solutions-delhi-delhi-ncr-jaipur-bengaluru-bangalore-7-to-12-yrs-jobid-d6bXPSpY8qFzpSvf__PLUS__uAgZw==&source=srp
9,Paxcom India  ( P )  Ltd,2 - 5 yrs,"In this position ,  the AI / ML Specialist will work with stakeholders and technical team members to deliver capabilities through agile acquisition ,  by lever... More Details","data mining  ,  artificial intelligence  ,  docker  ,  java  ,  postgresql  ,  pattern recognition  ,  python  ,  machine learning",https://www.timesjobs.com/job-detail/machine-learning-engineer-paxcom-india-p-ltd-delhi-delhi-ncr-2-to-5-yrs-jobid-1TA8cVF__SLASH__RmxzpSvf__PLUS__uAgZw==&source=srp
