,company,year_of_experience,description,skills,link
0,"HUDDLEUP
     (More Jobs)",4 - 8 yrs,"Huddle Up LearningRole:      Front End DeveloperFTE:      Full or Part Time.  ( depending on match ) Location:   RemotePOSITION PREVIEW For this role ,  we ar... More Details","HTML  ,  CSS  ,  JavaScript frameworks  ,  Vue  ,  React  ,  Angular  ,  Amber  ,  Responsive design tools",https://www.timesjobs.com/job-detail/front-end-developer-huddleup-delhi-delhi-ncr-gurgaon-mumbai-noida-greater-noida-4-to-8-yrs-jobid-DuP2QqG3ShhzpSvf__PLUS__uAgZw==&source=srp
1,"Electrobrain modern technologies pvt ltd
     (More Jobs)",3 - 5 yrs,"THE ROLEHands-on experience in Leading large End-to-End Implementations and / or large Cloud Migrations of SAP Applications ,  HANA Database Migration ,  Upgrades ,  OS / DB M... More Details","SAP Fiori  ,  SAP S  /  4HANA  ,  Oracle  ,  Java  ,  c ++  ,  Html  ,  Javascript  ,  Ajax  ,  Json  ,  MS SQL Server  ,  Sybase ASE",https://www.timesjobs.com/job-detail/business-development-consultant-electrobrain-modern-technologies-pvt-ltd-bengaluru-bangalore-chennai-delhi-ncr-hyderabad-secunderabad-mumbai-3-to-5-yrs-jobid-tj__PLUS__jRtBnv__SLASH__JzpSvf__PLUS__uAgZw==&source=srp
2,"Electrobrain modern technologies pvt ltd
     (More Jobs)",3 - 5 yrs,"THE ROLEHands-on experience in Leading large End-to-End Implementations and / or large Cloud Migrations of SAP Applications ,  HANA Database Migration ,  Upgrades ,  OS / DB M... More Details","SAP Fiori  ,  SAP S  /  4HANA  ,  Oracle  ,  Java  ,  c ++  ,  Html  ,  Javascript  ,  Ajax  ,  Json  ,  MS SQL Server  ,  Sybase ASE",https://www.timesjobs.com/job-detail/sap-technology-associate-consultant-platform-basis-electrobrain-modern-technologies-pvt-ltd-bengaluru-bangalore-chennai-delhi-ncr-hyderabad-secunderabad-mumbai-3-to-5-yrs-jobid-V6L1xgJZoL5zpSvf__PLUS__uAgZw==&source=srp
3,"Resource Valley
     (More Jobs)",3 - 8 yrs,"Knowledge in Big Data technologiesHadoop ,  Pig ,  Hive andSparkExperience working with any Hadoop platform extensively.Experience in migrating workload from on-premise to clo... More Details","bigdata  ,  hadoop  ,  spark  ,  Hive",https://www.timesjobs.com/job-detail/sr-big-data-engineer-bigdata-developer-a-leading-it-company-gurgaon-3-to-8-yrs-jobid-MsfRHrUwcStzpSvf__PLUS__uAgZw==&source=srp
4,"CANVAS27.com Consultant
     (More Jobs)",1 - 6 yrs,Solid background on building data pipelines from scratch to produce queryable datasetsDecent knowledge of any programming language like Python / Java or any other scripting la... More Details,"cloud  ,  python  ,  java  ,  query optimization  ,  spark  ,  data warehousing  ,  scratch  ,  hadoop  ,  big data  ,  sql",https://www.timesjobs.com/job-detail/data-engineer-canvas27-com-consultant-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-pune-1-to-6-yrs-jobid-U7HS3r3Q4BBzpSvf__PLUS__uAgZw==&source=srp
5,"CANVAS27.com Consultant
     (More Jobs)",1 - 6 yrs,Solid background on building data pipelines from scratch to produce queryable datasetsDecent knowledge of any programming language like Python / Java or any other scripting la... More Details,"cloud  ,  python  ,  java  ,  query optimization  ,  spark  ,  data warehousing  ,  scratch  ,  hadoop  ,  big data  ,  sql",https://www.timesjobs.com/job-detail/data-engineer-canvas27-com-consultant-ahmedabad-bengaluru-bangalore-chennai-delhi-ncr-gurgaon-1-to-6-yrs-jobid-ax5tvzx6mIBzpSvf__PLUS__uAgZw==&source=srp
6,Forstaffing,5 - 8 yrs,"Ideally with relevant experience in the range of 5-8 yrs.must have worked on large data sets ,  new age big data frameworks like Apache Spark ,  Apache Flink ,  Hadoop stack.m... More Details","apache  ,  hadoop  ,  big data  ,  sql",https://www.timesjobs.com/job-detail/big-data-engineer-forstaffing-noida-greater-noida-5-to-8-yrs-jobid-zSkyz5hSKzpzpSvf__PLUS__uAgZw==&source=srp
7,MOUNT TALENT CONSULTING,1 - 4 yrs,"Roles and ResponsibiesProficient understanding of distributed computing principles Management of Spark clusters ,  with all included services various implementations of Spark ... More Details","hive  ,  bi  ,  impala  ,  pig  ,  big data",https://www.timesjobs.com/job-detail/big-data-engineer-mount-talent-consulting-gurgaon-bengaluru-bangalore-1-to-4-yrs-jobid-QD6VZw2UPotzpSvf__PLUS__uAgZw==&source=srp
8,Analytics Vidhya,5 - 7 yrs,"Job Description and Responsibilities:4  years Big Data ecosystem experience along with admin ,  development ,  cloud and app integration experience3  years Consulting experien... More Details","hive  ,  sql  ,  pig  ,  java  ,  apache  ,  flume  ,  linux  ,  hadoop  ,  big data  ,  mongodb  ,  hbase  ,  oozie  ,  nosql  ,  cassandra  ,  sqoop",https://www.timesjobs.com/job-detail/big-data-engineer-analytics-vidhya-gurgaon-mumbai-delhi-delhi-ncr-5-to-7-yrs-jobid-tDL9HI5HixJzpSvf__PLUS__uAgZw==&source=srp
9,TALPRO,5 - 8 yrs,"ResponsibilitiesResponsible to Ingest data from files ,  streams and databases. Process the data with Spark and JavaDevelop programs as part of data cleaning and processingRes... More Details","internet technologies  ,  java  ,  apache  ,  unix shell scripting  ,  hadoop  ,  api  ,  big data  ,  cloud computing  ,  python  ,  sybase  ,  natural language processing  ,  consultant  ,  unix",https://www.timesjobs.com/job-detail/data-engineer-big-data-talpro-mumbai-delhi-delhi-ncr-bengaluru-bangalore-5-to-8-yrs-jobid-bQDVmEmuCCxzpSvf__PLUS__uAgZw==&source=srp
10,Analytics Vidhya,4 - 8 yrs,Our Big Data capability team is hiring technologists who can produce beautiful  &  functional code to solve complex analytics' problems. If you are an exceptional developer an... More Details,"hive  ,  c    ,  scala  ,  pig  ,  sql  ,  java  ,  apache  ,  python scripting  ,  git  ,  flume  ,  linux  ,  shell scripting  ,  hadoop  ,  api  ,  big data  ,  cloud computing  ,  hbase  ,  cli  ,  python  ,  oozie  ,  machine learning  ,  nosql  ,  cassandra  ,  infrastructure  ,  hdfs  ,  sqoop",https://www.timesjobs.com/job-detail/lead-big-data-engineer-analytics-vidhya-gurgaon-mumbai-bengaluru-bangalore-4-to-8-yrs-jobid-HD4OJ7Fa8BpzpSvf__PLUS__uAgZw==&source=srp
11,TALPRO,5 - 8 yrs,"Roles and ResponsibilitiesThis role requires close collaborations with data ,  engineering ,  and product organizations. His / her job functions includeWork with large data se... More Details","technical leader  ,  bi  ,  data warehousing  ,  artificial intelligence  ,  sql  ,  internet technologies  ,  java  ,  software engineering  ,  mysql  ,  hadoop  ,  big data  ,  mongodb  ,  github  ,  python  ,  problem solving  ,  nosql  ,  consultant  ,  infrastructure  ,  software developer",https://www.timesjobs.com/job-detail/big-data-engineer-talpro-delhi-delhi-ncr-jaipur-bengaluru-bangalore-5-to-8-yrs-jobid-4huuVkqlL59zpSvf__PLUS__uAgZw==&source=srp
