,company,year_of_experience,description,skills,link
0,Fine Jobs Consultant Pvt. Ltd.,0 - 3 yrs,"Job DescriptionVARITE is looking for a qualified Data Analyst for one of its clients located in Noida  ( Sec 144 )  . If you are interested in this opportunity ,  kindly respo... More Details","data analysis  ,  consulting  ,  it consulting  ,  data analyst  ,  infrastructure",https://www.timesjobs.com/job-detail/data-analyst-fine-jobs-consultant-pvt-ltd-noida-greater-noida-0-to-3-yrs-jobid-HDm__SLASH__gOLtzw5zpSvf__PLUS__uAgZw==&source=srp
1,Faircent.com,3 - 6 yrs,"Job Responsibilities:Candidate must have the following basic requirements:Minimum Experience - 3 Yrs.industry - FintechTechnicals - SQL ,  Python ,  VBA ,  XLSShould be based ... More Details","data analytics  ,  vba  ,  data analyst  ,  sql",https://www.timesjobs.com/job-detail/data-analyst-faircent-com-gurgaon-3-to-6-yrs-jobid-wYIhqM3JMvhzpSvf__PLUS__uAgZw==&source=srp
2,Analytics Vidhya,2 - 4 yrs,Job Description and Responsibilities:- Work with Product teams to identify opportunities for product enhancement based on data driven insights.- Collaborate with sales and mar... More Details,"data analysis  ,  predictive analytics  ,  spss  ,  data analyst  ,  sql  ,  factor analysis",https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-gurgaon-2-to-4-yrs-jobid-xQXq8fgvS01zpSvf__PLUS__uAgZw==&source=srp
3,Ameriprise India Pvt Ltd,1 - 3 yrs,"We are looking for a driven individual with analytical mindset who is ready for an immersive ,  real-world experience. You should be a motivated team player who can maintain e... More Details","business requirements  ,  advanced analytics  ,  sas  ,  business analysis  ,  data analyst  ,  tableau  ,  written communication  ,  predictive modeling",https://www.timesjobs.com/job-detail/data-analyst-ameriprise-india-pvt-ltd-gurgaon-1-to-3-yrs-jobid-l__PLUS__91C3P7xMBzpSvf__PLUS__uAgZw==&source=srp
4,Ameriprise India Pvt Ltd,1 - 3 yrs,"Job DescriptionWe are looking for a driven individual with analytical mindset who is ready for an immersive ,  real-world experience. You should be a motivated team player who... More Details","business requirements  ,  advanced analytics  ,  sas  ,  business analysis  ,  data analyst  ,  tableau  ,  written communication  ,  predictive modeling  ,  sql programming",https://www.timesjobs.com/job-detail/data-analyst-ameriprise-india-pvt-ltd-noida-greater-noida-1-to-3-yrs-jobid-V45sc2cj1HpzpSvf__PLUS__uAgZw==&source=srp
5,Analytics Vidhya,2 - 5 yrs,Data Analyst- Gurugram  ( 2  Years Of Experience ) Data Analyst- Gurugram  ( 2  Years Of Experience )  A Client of Analytics Vidhyamultiple INR 5 - 9 LPA Experience : 2 YRS. O... More Details,"data analytics  ,  sas  ,  spss  ,  dashboards  ,  data analyst  ,  sql  ,  tableau  ,  statistical modeling  ,  data visualization",https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-gurgaon-2-to-5-yrs-jobid-veGhsAe2FU9zpSvf__PLUS__uAgZw==&source=srp
6,Taboola,2 - 5 yrs,"Responsibilities:Create ,  support and maintain reports and dashboards ,  as well as find creative solutions for a variety of challenges ,  while facing our growing data requi... More Details","data analytics  ,  data analysis  ,  bi  ,  dashboards  ,  data analyst  ,  sql  ,  tableau  ,  crm",https://www.timesjobs.com/job-detail/data-analyst-taboola-delhi-2-to-5-yrs-jobid-iEaTQ4EjtmRzpSvf__PLUS__uAgZw==&source=srp
7,IKON,3 - 5 yrs,zRoles and ResponsibilitiesKEY TASKSRequirement gathering and evaluation of clients business situations in order to implement appropriate analytic solutions.Data management an... More Details,"bi  ,  sql  ,  requirement gathering  ,  database  ,  advanced excel  ,  data visualization  ,  data analysis  ,  data analyst  ,  alteryx  ,  tableau",https://www.timesjobs.com/job-detail/data-analyst-ikon-hyderabad-secunderabad-gurgaon-chennai-pune-bengaluru-bangalore-3-to-5-yrs-jobid-M0ScInEm3whzpSvf__PLUS__uAgZw==&source=srp
8,SEVEN CONSULTANCY,1 - 3 yrs,"JOB DETAILS1.Importing / Collecting ,  cleaning ,  converting and analyzing the data for the purpose of find insights and making conclusions.2.Presenting data in graphs ,  cha... More Details","data analytics  ,  big data analytics  ,  data mining  ,  data reports  ,  data analyst  ,  database  ,  data science  ,  data scientist  ,  analyst",https://www.timesjobs.com/job-detail/data-analyst-seven-consultancy-delhi-delhi-ncr-1-to-3-yrs-jobid-0yMgXFm__SLASH__q5NzpSvf__PLUS__uAgZw==&source=srp
9,ANR SOFTWARE PVT LTD,0 - 1 yrs,"Data AnalystExperience: 0 to 1 YearsEligibility  &  Job Description Eligibility: Bachelor degree in Mathematics ,  Computer Science ,  Information Management or StatisticsAny ... More Details","data analytics  ,  information management  ,  sas  ,  spss  ,  data analyst  ,  sql  ,  data science  ,  written communication",https://www.timesjobs.com/job-detail/data-analyst-anr-software-pvt-ltd-noida-greater-noida-0-to-1-yrs-jobid-wiKqbbFOouJzpSvf__PLUS__uAgZw==&source=srp
10,SEVEN CONSULTANCY,0 - 3 yrs,"1.Importing / Collecting ,  cleaning ,  converting and analyzing the data for the purpose of find insights and making conclusions.2.Presenting data in graphs ,  charts ,  tabl... More Details","data analytics  ,  big data analytics  ,  data mining  ,  consulting  ,  data reports  ,  data analyst  ,  database  ,  data science  ,  data scientist  ,  analyst",https://www.timesjobs.com/job-detail/data-analyst-seven-consultancy-delhi-delhi-ncr-0-to-3-yrs-jobid-t09G0NcoWEVzpSvf__PLUS__uAgZw==&source=srp
11,RGF Professional,3 - 6 yrs,"Job Description Key Responsibilities Collate ,  compile ,  mine and present a broad range of data for internal purposes ,  primarily focussed on investment management process ... More Details","dashboards  ,  sql  ,  database  ,  data visualization  ,  tableau  ,  vba  ,  written communication  ,  analyst",https://www.timesjobs.com/job-detail/data-analyst-rgf-professional-gurgaon-3-to-6-yrs-jobid-SvVvrqj__PLUS__bz9zpSvf__PLUS__uAgZw==&source=srp
12,Cognizant Technology Solutions,0 - 3 yrs,Team Lead - CDM / PVQualification:Graduate / Post Graduate /  Doctorate degree in life sciences / Pharmacy / Medical sciences / Registered Nurse Responsibility:Business /  Cus... More Details,"reports  ,  mentor  ,  customer interaction  ,  coding  ,  database  ,  security  ,  procedures  ,  c",https://www.timesjobs.com/job-detail/data-analyst-cognizant-technology-solutions-gurgaon-0-to-3-yrs-jobid-thbbdK3IcnhzpSvf__PLUS__uAgZw==&source=srp
13,Cognizant Technology Solutions,0 - 3 yrs,Team Lead - CDM / PVQualification:Graduate / Post Graduate /  Doctorate degree in life sciences / Pharmacy / Medical sciences / Registered Nurse Responsibility:Business /  Cus... More Details,"reports  ,  mentor  ,  customer interaction  ,  coding  ,  database  ,  security  ,  procedures  ,  c",https://www.timesjobs.com/job-detail/data-analyst-cognizant-technology-solutions-gurgaon-0-to-3-yrs-jobid-JF__SLASH__wetvYxDNzpSvf__PLUS__uAgZw==&source=srp
14,Forstaffing,3 - 5 yrs,"ideally with relevant experience 3-5 yrs.must have strong experience working on MS SSAS /  OLAP  /  Cube technologies  (  DAX ,  MDX ) .must have created  &  maintained cubes ... More Details","mdx  ,  ssas  ,  olap  ,  sql",https://www.timesjobs.com/job-detail/data-analyst-forstaffing-noida-greater-noida-3-to-5-yrs-jobid-cf8qHnDv__PLUS__EdzpSvf__PLUS__uAgZw==&source=srp
15,FresherMart,2 - 5 yrs,"Candidate should have worked for at least 2 years work experience Should have worked with a team of at least 20 people Should be VERY GOOD with the use of Excel ,  Excel Macro... More Details","sql queries  ,   vb  ,   Excel Macros  ,   VB",https://www.timesjobs.com/job-detail/data-analyst-freshermart-gurgaon-2-to-5-yrs-jobid-Qth1ctxnQ0ZzpSvf__PLUS__uAgZw==&source=srp
16,Analytics Vidhya,2 - 5 yrs,"Data AnalystData Analyst ConfidentialDelhi NCR ,  Mumbai ,  Bengaluru ,  Hyderabad ,  Pune INR 4 - 5 LPA Experience : 2 - 5 YRS. Openings: 10Details:Person with 2  years of ex... More Details","bi  ,  business intelligence  ,  sql  ,  qlikview",https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-hyderabad-secunderabad-mumbai-delhi-delhi-ncr-pune-2-to-5-yrs-jobid-Bw7ZrxrSg__PLUS__1zpSvf__PLUS__uAgZw==&source=srp
17,Analytics Vidhya,2 - 5 yrs,This role is on our Analytics team. This team partners with Product  &  Editorial to produce world-class analysis and provide recommendations that improve our products and inc... More Details,"python  ,  sql  ,  messaging  ,  infrastructure",https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-noida-greater-noida-2-to-5-yrs-jobid-AMMaWFH6RutzpSvf__PLUS__uAgZw==&source=srp
18,Analytics Vidhya,3 - 5 yrs,"Data Analyst- Delhi / NCR / Gurugram-  ( 3-5 Years Of Experience ) Data Analyst- Delhi / NCR / Gurugram-  ( 3-5 Years Of Experience )  A Client of Analytics VidhyaDelhi ,  Gur... More Details","python  ,  problem solving  ,  reporting tools",https://www.timesjobs.com/job-detail/data-analyst-analytics-vidhya-delhi-delhi-ncr-3-to-5-yrs-jobid-Icxd2xsqxtRzpSvf__PLUS__uAgZw==&source=srp
19,Ground Truth,1 - 2 yrs,We believe that innovative technology starts with the best talent and were recently ranked of Ad Ages 2021 Best Places to Work. Learn more about the perks of joining our team ... More Details,"python  ,  mobile  ,  sql  ,  database  ,  written communication  ,  infrastructure  ,  linux",https://www.timesjobs.com/job-detail/data-analyst-ground-truth-gurgaon-1-to-2-yrs-jobid-j1kEE4TAUalzpSvf__PLUS__uAgZw==&source=srp
20,HR DEVI AND ASSOCIATES,4 - 7 yrs,"Responsibilities:Interpret data ,  analyze results using statistical techniques and provide ongoing reports.develop and implement data collection systems and other strategies ... More Details","data mining  ,  sql  ,  sql developer  ,  python  ,  business objects",https://www.timesjobs.com/job-detail/data-analyst-hr-devi-and-associates-gurgaon-4-to-7-yrs-jobid-Y1VT0WCc7phzpSvf__PLUS__uAgZw==&source=srp
21,CashKaro,4 - 7 yrs,"With CashKaro's recent $10mn Series B fundraise ,  we are looking to grow 10x. This can be a great career move to accelerate your own growth.Roles and responsibilities of this... More Details","data analysis  ,  data analytics  ,  bi  ,  dashboards  ,  sql  ,  tableau  ,  advanced excel",https://www.timesjobs.com/job-detail/data-analyst-cashkaro-gurgaon-4-to-7-yrs-jobid-__PLUS__7SYvEx9Pq5zpSvf__PLUS__uAgZw==&source=srp
